words,commit_message
73,bb68075e8c Merge pull request #32123 from hashicorp/jbardin/noop-apply-optimizations
39,efd77159dd use key data from plan method for apply
39,ffe2e3935e avoid re-writing state for noop applies
35,eb88ccbc7b only add NoOp nodes with conditions
14,19152e7ba5 fix log mesage
46,eae246cfb5 normalize empty CheckResults fields in stateV4
32,fa4c652013 changes are mutated during apply
40,b61c02da05 don't lose checks from refresh-only plan
57,4cb355f3d6 S3 Backend : Bucket key should not contain trailing slash
16,ec42b167d7 fix broken links
65,ff68c8d129 Merge pull request #31966 from kschu91/feature/azure-generic-oidc
19,74e6bf08f1 Update CHANGELOG.md
46,5957d2657a Update GCS backend docs for TF >=0.12 (#32065)
64,ab45c21cc1 Merge pull request #32114 from hashicorp/remove-noreviews-update
22,3b8e97c38c Update CONTRIBUTING.md
48,300ad02937 don't plan data source reads during refresh-only
47,c147389cf8 Update website/docs/cli/commands/state/show.mdx
68,f5de1099ff Merge pull request #31768 from hashicorp/brandonc/providers-estimate
35,43ade2b6a1 Update website/docs/intro/index.mdx
45,2aaaf28b75 Merge pull request #31830 from sdinay/patch-2
52,20b3e8e5a1 Merge pull request #31792 from mferraroni/doc-s3-fix
45,5937389c6d Merge pull request #31597 from LiranV/patch-1
56,fbfe5b5a87 Merge pull request #31508 from wzyboy/docs/unknwon-value
65,c3c6f8327f Merge pull request #31149 from hashicorp/docs-for-each-list-toset
56,8b62ab2423 Update website/docs/language/providers/configuration.mdx
56,0a12ffb683 Update website/docs/language/providers/configuration.mdx
47,c8a023c398 Update website/docs/language/modules/syntax.mdx
48,067fac3572 Update website/docs/language/expressions/for.mdx
51,8ca918d4a5 Update website/docs/language/data-sources/index.mdx
66,ff9c5f1c59 Update website/docs/internals/provider-network-mirror-protocol.mdx
45,2df5b5d8b5 Update website/docs/internals/json-format.mdx
45,0247401266 Update website/docs/internals/json-format.mdx
40,ef01b2827a Update website/docs/cli/import/index.mdx
45,3c0e238370 Update website/docs/cli/commands/validate.mdx
60,bd744ad4e9 Unify all sensitive value plan output as "(sensitive value)"
57,076fccd8e7 fix: don't reveal nested attributes with sensitive schema
11,095368b4b4 PR Feedback
74,730756eca2 Merge pull request #32051 from hashicorp/jbardin/destroy-checkable-outputs
41,54de574e2b chore: Update Digital Team Files (#32037)
17,92c8c76684 fix variable name
21,a44c859c86 update UIMode comment
42,03e262a70b chore: rewrite internal redirects (#32038)
24,ac99cd6051 remove extra import line
40,28d5a5bf63 NoOp nodes should not have destroy edges
22,586401aeea make naming consistent
28,8a4883fd13 don't eval checks on destroy
47,8d11c7f524 the destroy refresh plan should be refresh-only
32,08081097cb check console with preconditions
38,a0723442b9 test for incorrectly evaluated outputs
37,333bdecf39 checks must be registered during eval
28,1eb22fd94a fix output transformer names
